network_id,community_user,community_referenced,id,original_tweet,translated_text,model_score,negativity_score_reviewer1,negativity_score_reviewer2,negativity_score_reviewer3
cop27,1,0,1580135091766190081,"@ScotGovFM @NicolaSturgeon @vanessa_vash @topnigel @lizwathuti Why? You recruited two Enviro Ministers. Why not focus on the failing NHS, Ambulance waiting times, lack of GP appointments. Let your green ministers deal with COP27 / environmental issues. Don’t you trust them to do the job they are “highly” paid for?",Why You recruited two Enviro Ministers Why not focus on the failing NHS Ambulance waiting times lack of GP appointments Let your green ministers deal with COP  environmental issues Don’t you trust them to do the job they are “highly” paid for,0.80913519859314,0.2,0.3,0.8
donana,1,0,1638477748023828481,La @ComisionEuropea ha advertido a España que no tolerará la ampliación del regadío que cerca #Doñana  Hemos pedido al Presidente @JuanMa_Moreno que reconsidere su propuesta y retire esta proposición de ley  @ppandaluz @Teresaribera @RamonFPM  #SalvaDoñana ,He has warned Spain that it will not tolerate the extension of the irrigation that we have asked the president to reconsider his proposal and withdraw this proposition of the law,0.425607681274414,0.1,0.1,0.4
cop27,1,0,1589232948813135873,@NatureDeal @climateWWF @BfNCoalition @CapsCoalition @UNBiodiversity @nature_press @Nature_Climate @manupulgarvidal @WWF_DG @WWFLeadWater @WWFForestCarbon The conservation industry pushes [#NatureBasedSolutions] because they can make huge sums selling carbon credits from the Protected Areas they manage in order to fund new Protected Areas (and pay the million-dollar plus salaries of their CEOs). #COP27 ,The conservation industry pushes  because they can make huge sums selling carbon credits from the Protected Areas they manage in order to fund new Protected Areas and pay the milliondollar plus salaries of their CEOs,0.0378647074103355,0.2,0.2,0.7
donana,1,0,1646495709699481601,Doñana está en peligro. El mayor humedal de Europa podría desaparecer debido a la propuesta de @ppandaluz para legalizar los regadíos y pozos ilegales que atentan contra este Patrimonio de la Humanidad. ¡Firma para evitarlo! #DoñanaAmnistíaNo ,Doñana is in danger the largest wetland in Europe could disappear due to the proposal to legalize the irrigation and illegal wells that threaten this World Heritage Signature to avoid it,0.852330446243286,0.2,0.1,0.5
ipcc,0,1,1639652350871715841,"@AlanGerwig @Justanelectric1 @andyp1599 @CO2Coalition Religion is a belief in something for which there is no evidence. Therefore, by definition, what I post is nothing to do with religion.  I do, however, take your advice and I leave the science to real scientists. This is what they say: ",Religion is a belief in something for which there is no evidence Therefore by definition what I post is nothing to do with religion I do however take your advice and I leave the science to real scientists This is what they say,0.277513027191162,0.2,0.1,0.3
donana,1,0,1646410067695083520,"Tras leer a bastante gente sobre lo que la @AndaluciaJunta de @JuanMa_Moreno quiere hacer en Doñana, sobre todo a algunos juristas (@dieguez_miguel, por ejemplo), me queda claro que es campaña electoral pura y dura. Me explico ⬇️ ","After reading enough people about what they want to do in Doñana, especially some jurists, for example, it is clear to me that it is a pure and hard electoral campaign I explain myself",0.101104147732258,0.1,0.1,0.6
refugees,6,1,1386861297439019015,"@jimdtweet @FChecker76 @robhon_ @Kenneth72712993 @BubbasRanch @caerbannog666 @25_cycle @Rattle_Resists @GeraldKutney @sueytonius @GoodCollie @stargrazzer @NoelTurner194 @NeatCraftsmen @ejwwest @thinks_about_it @swcrisis @Robert76907841 @weather_talk @jgorman2424 @CalgaryPatty @MedBennett @socratesccost @RoyPentland @drochir_thonnuk @jch_of @Particle96 @RegimeChangeBC @MartinJBern @automatrix66_KC @d_e_mol @PeterDClack @Cypress_NL @priscian @Schrdin79008382 @DisorderDipolar @drolkrad_ehT @JimFish56837379 @ScienceJustWins @bobathon @KritzoVenter @NikolovScience @w44xc555 @AffitThro @Kaya78229577 @WilliamMarsWard @WhompyWombat @RuleByLogic @GreyTonka @erikfrijns Many ancient civilizations were either displaced or wiped out by rapid climate change, from floods and rise of oceans to draughts and desertification.   Most of sahara was grasslands/bushlands until a few thousand years ago. Iran's earliest civilizations now sit under sand dunes",Many ancient civilizations were either displaced or wiped out by rapid climate change from floods and rise of oceans to draughts and desertification Most of sahara was grasslandsbushlands until a few thousand years ago Irans earliest civilizations now sit under sand dunes,0.627818882465363,0.3,0.1,0.4
donana,0,1,1640989693691977730,"@Santi_MBarajas @Libertaria120 @AndaluciaJunta Informaros bien, que todo está en regla y detallado. Es un trabajo hecho por expertos totalmente transparente. A @AndaluciaJunta , le importan no solo los habitantes sino tambien la región. ERES mal informador.   ",Informing you well that everything is in order and detailed is a work done by experts totally transparent to care not only the inhabitants but also the region is poorly informant,0.102273136377335,0.4,0.3,0.7
cop27,0,1,1572062697264672770,"@politicalmath @ChristinaPushaw What can you trust from a side that told you the world will end in 8 years bc apocalyptic #ClimateCrisis and that COVID virus was so deadly that businesses, schools, and churches had to close for months???  #CantTrustIt #BlueAnon #mentallyill",What can you trust from a side that told you the world will end in  years bc apocalyptic and that COVID virus was so deadly that businesses schools and churches had to close for months,0.943711280822754,0.5,0.4,0.8
ipcc,1,0,1639459036130340865,"@Soothsa12801949 @IPCC_CH @aditimukherji The homes would  not be eligible for insurance coverage.. also the property at Champaign towers south would have been worth ZERO $,   but sold for a billion dollars..   you can't even connect the dots because of your low lQ...",The homes would not be eligible for insurance coverage also the property at Champaign towers south would have been worth ZERO  but sold for a billion dollars you cant even connect the dots because of your low lQ,0.85060840845108,0.6,0.6,0.9
cop27,0,1,1590333209405173760,@Missymaizey89 @edmontonjournal EJ 🔥DIRE reporting lucy HAD a pool it was taken away by the criminal abuse zoo. Edmonton never loved lucy they laughed at lucy as a baby terrified beaten chained winched suffered frostbite.🔥🐘 the headline should be lucy GOING to a sanctuary @PrivyCouncilCA @LtGovAB #COP27 ,EJ DIRE reporting lucy HAD a pool it was taken away by the criminal abuse zoo Edmonton never loved lucy they laughed at lucy as a baby terrified beaten chained winched suffered frostbite the headline should be lucy GOING to a sanctuary,0.908797323703766,0.1,0.6,0.9
cop27,0,1,1575165540058140672,"Hey, Dan McLean (@DanWMcLean), because Brett Wilson (@WBrettWilson) has worked, has worked so hard to mislead Canadians--lying to them even--about climate change, he owns a large part of this disaster. You're OK with that? #ClimateCrisis  ",Hey Dan McLean  because Brett Wilson  has worked has worked so hard to mislead Canadianslying to them evenabout climate change he owns a large part of this disaster Youre OK with that,0.607242226600647,0.5,0.6,0.8
donana,1,0,1648588697527283713,"@MasDeUno El parque de Doñana no es compatible con el desarrollo intensivo que se ha programado para los cultivos , esa es la gran verdad, se necesita cambiar los modelos de producción, de consumo y distribución. Y se debe garantizar constitucionalmente el derecho al agua por la ciudadanía","Doñana Park is not compatible with the intensive development that has been programmed for crops that is the great truth, it is necessary to change the models of consumption and distribution production and the right to water by citizenship must be constitutionally guaranteed",0.566077291965485,0.1,0.4,0.3
refugees,6,1,1066758986949640202,"@JDavenne @NeilLaurenson @TheGreenParty 7/ Millions of humans displaced. Really? Where? Voluntary migration to find better living standards, but not caused by climate change. Fantasy. 1 billion people removed from extreme poverty in the last 15 years or so, leaving only 0.8 billion that afflicted.", Millions of humans displaced Really Where Voluntary migration to find better living standards but not caused by climate change Fantasy  billion people removed from extreme poverty in the last  years or so leaving only  billion that afflicted,0.478596180677414,0.6,0.3,0.7
donana,0,1,1395811197086314496,"No podía dejar de felicitarnos por el #Natura2000Day. Defendamos lo nuestro. Presumamos de Espacios Naturales #RedNatura2000. De todo nuestro #MedioNatural. De #Andalucía.  👉🏻Lo hago orgulloso y con #Doñana como bandera, fotografía del gran JM Pérez de Ayala (@oapngob) ",I could not stop congratulating ourselves for the defend our presuming from natural spaces of all of ours of what I do proud and with as a flag photography of the great JM Pérez de Ayala,0.0059063290245831,0.1,0.2,0
refugees,6,1,1158992488474058752,@EdDarrell @rpkersey @MartinBrampton @AltGreen2 @Anthony_James_X @PhilosophySeel @tcw_team @PeaceOnEarth222 @no2wind @SaferStone @RichardMorganNZ @PracticalLefty @KCTaz @manifesto2000 @Gazzagunna @Barbarajdurkin @LatinMass9876 @RoyPentland @Matthew10531896 @BobRae14 @donahugh216 @GPEC1292 @dunvirkin @iceagereentry @GWLarsson @Chris_Leary @SombreGreen @johnstretch @Havenaar64 @jar61354 @Tangomitteckel @GillesnFio @GrahamKirk17 @Carbongate @MedBennett @StewartNial @Thiakadavra @kjell_yvik @TrimegistroT @Oxat @Siansphinx @harryr33 @noturbine @can_climate_guy @DawnTJ90 @kimbetech @darren_nell @SIPA1998 @profwolff The people illegally crossing the US/Mex border are not climate refugees. Pollution is a real issue but carbon dioxide is not a pollutant. Dr Patrick Moore @EcoSenseNow  has dedicated his life to saving the planet but also knows that Co2 is a vital and beneficial trace gas.,The people illegally crossing the USMex border are not climate refugees Pollution is a real issue but carbon dioxide is not a pollutant Dr Patrick Moore has dedicated his life to saving the planet but also knows that Co is a vital and beneficial trace gas,0.206934824585915,0.5,0.1,0.5
