network,video_id
refugees,1_MGvDoaN7M
refugees,XFAvAxM4wto
refugees,siladGzSKJI
refugees,y-Y-YUMnpQ4
refugees,D6HU9_UkrbQ
refugees,fvOSz2XiYtk
refugees,1CtEbPrnVMk
refugees,H2QxFM9y0tY
refugees,WfYbdFlehAo
refugees,G40ooKzI664
refugees,PjyX5dnhaMw
refugees,wLRSyeK2Wm8
refugees,7EQ9qx8Hw6o
refugees,KkGD0GsoBAQ
refugees,CZfBENo-2Ek
refugees,vy3gMVGwjuc
refugees,vpTHi7O66pI
refugees,TZ0j6kr4ZJ0
refugees,cl4Uv9_7KJE
refugees,dk2vCM28JjI
refugees,kplAkgdarnY
refugees,Tg7lHKT7yME
refugees,K9MaGf-Su9I
refugees,3NnZxJ9QZaM
refugees,GIFRg2skuDI
refugees,kbtZaqWVUgA
refugees,nIlMHFwC1MM
refugees,OjD0e1d6GgQ
refugees,rIaNnDE1WHY
refugees,_IPJR1cTehA
refugees,e4Bz2RDzbgU
refugees,VnAzoDtwCBg
refugees,NIaCOzRnzgo
refugees,89QjFvuLUbM
refugees,5xuZT7VkjVg
refugees,TFPX-cJQnqg
refugees,icj93S4y_PI
refugees,vNV-YcswRy8
refugees,RhO82xIJdNA
refugees,WkfTeGcItA0
refugees,17aE91SBMoY
refugees,Vo61TiAGwhk
refugees,UjMKhvSd950
refugees,u82iSLtylfQ
refugees,TvvaSOT-ag4
refugees,gtu9GHhiK0o
refugees,8NSQYO2es3U
refugees,udFJMJHdoxY
refugees,co5uywe-1Z8
refugees,RLz3AYVIqes
refugees,PXI_lGSI930
refugees,5fdFTGEhkxs
refugees,CM_QS984JKI
refugees,s4UgekcYg2o
refugees,v8dXpe1Pp6Q
refugees,uT0rXeo1SCI
refugees,z3d_UsYgt1c
refugees,wj2xHsR8p5c
refugees,nUnJQWO4YJY
refugees,Xem9EvvkJSc
refugees,AeqAoozVyfQ
refugees,qEylCS6-hBE
refugees,VJufw587tzQ
refugees,tV42sBSq1Mw
refugees,GkbuV_a-rvs
refugees,46yvAKge3qQ
refugees,Y4IupyTclCM
refugees,LCSx6ZRoazI
refugees,4dYDYE73dMk
refugees,KFgM5C2AGrY
refugees,xGzLn7LpvAs
refugees,QZKhZNQ2_Ko
refugees,cIG7vt1ZPKE
refugees,kgzHejXvYHE
refugees,MibhvGD9-PY
refugees,UYNJ_HB4qKA
refugees,RK5l_0bm6ko
refugees,NJ3kApZEydE
refugees,pSn6S-H7m-8
refugees,-Lk0jYeVENo
refugees,Aav5g8f_ias
refugees,hW9EAkqu6aY
refugees,Lf9fwGTakCw
refugees,Z7MFJ4EFezQ
refugees,ZQP-7BPvvq0
refugees,Jv9Rhi_hw70
refugees,-y5X182LqFU
refugees,S4e5ZG9bD9A
refugees,0ypaUH57MO4
refugees,NPM8jEQOqh0
refugees,vdJmyhqElTc
refugees,hqRdu2riNlg
refugees,TJY6eqh3Mek
refugees,CvaI9nxSKAw
refugees,HUQrdFAVV4w
refugees,Cdk72FE_nsk
refugees,D11-DITq-Is
refugees,dwHIeMrkMwg
refugees,AXMOHxErC_4
refugees,6blAw4JNdXE
refugees,1BDmIis9STE
refugees,0VOWi8oVXmo
refugees,ZmGh4tOF20I
refugees,aM31RyxSSCw
refugees,-Vm_gabtIA8
refugees,0pADNowkcmI
refugees,5v1Yg6XejyE
refugees,H6tO0HJdDj4
refugees,AM5GqcTMimA
refugees,xjH7pro5g8w
refugees,IziRmnxRb6w
refugees,4E3vTvonSGY
refugees,KtjeNvTwYeU
refugees,KWrt27jatxs
refugees,rcsPX_xTj08
refugees,PNTWdO9Q3zM
refugees,qRa0czIBt4E
refugees,zpQwNU5d39U
refugees,QvTd1xJf5X8
refugees,2Zax9XTHUlo
refugees,GQpqmltcvJM
refugees,AZ6QoCDcEzg
refugees,YlIIrSgIbVg
refugees,pWu_-duWSh8
refugees,Eyf9V8aN5VI
refugees,MBKZWKeKYqE
refugees,uynhvHZUOOo
refugees,gwYgr5f3BO4
refugees,lDBGXpGhbiA
refugees,ZfFvLJyPf3o
refugees,xu3rAE2x7Zo
refugees,J2347VMpBq8
refugees,PqUUTP5i_nU
refugees,OLd4EqQywwQ
refugees,pvRtNGW9Ajk
refugees,GE3N1f2XgGQ
refugees,M3XZBYVSnJ0
refugees,SByFy9R6320
refugees,mWVNStKknnw
refugees,VUaw1PcIpw4
refugees,HrdMOFXuXlc
refugees,bbi446dSm5E
refugees,n9Ej5E47TNI
refugees,3fbsi3o0BbA
refugees,NFc5fkCMgqE
refugees,QF41kKR89og
refugees,tcj9IGY6Etg
refugees,sNTjqKsb98E
refugees,vxWNWxgMyyQ
refugees,t7oNQgDC4Hw
refugees,Kx_XUHCcvjQ
refugees,QI59G-Uup-0
refugees,eKrm5n2MnP4
refugees,F_pKB_C1NdQ
refugees,sV-A1mN46vI
refugees,ksR0x2nqym8
refugees,0vB1FsuwXXU
refugees,Im2d6NE-ILM
refugees,lbQQtOJvSkA
refugees,9LXYZl1eilk
refugees,sAV5rYoPSVY
refugees,Nr_I6XcFEmQ
refugees,TrDjGCLoBuM
refugees,qEWoIxnBe2o
refugees,wlrbdP2hSyc
refugees,WV43-IkNV90
refugees,xjSdFWAR8LQ
refugees,h2uexeC-A14
refugees,vU6KljhGkm4
refugees,Af34YNSnMe0
refugees,IFSjuyDP6XU
refugees,J6hyxpKdveo
refugees,MGQ0HHl7dwY
refugees,opKudAhwrPI
refugees,eeqrlA1UbiQ
refugees,7Brv1EDa2t4
refugees,Q0xy9HdDWEU
refugees,9K9f9pJz67o
refugees,rzJhI1c_dnw
refugees,xlvoMO-Rk7A
refugees,LwP5LYjuTww
refugees,hRVCDgRTuHY
refugees,JGEAgj6uJM4
refugees,zMYHdyHPO00
refugees,XclMYsIxbsk
refugees,LaySZinzgv0
refugees,kcW8j6Y46BI
refugees,U9mc6p1zXxw
refugees,vPcyhZcDDXs
refugees,NJQ0ntduJjE
refugees,BhrGh1BCITI
refugees,OdBqRbohhKc
refugees,rhwqfDKlo4A
refugees,eZbPVHHcrTs
refugees,Xhg0JbFhM6g
refugees,vGvEcdKNTU8
refugees,jdgT9tvJPQk
refugees,WMvoxx7XFuc
refugees,rKRDXoi22-o
refugees,JPh3kE_QgYs
refugees,neMObfw8Dqs
refugees,zacqNd1ntOw
refugees,L0IFuz3dM2g
refugees,3dc8DQvLPEg
refugees,_-v-XX7MM9k
refugees,Dz9upGrVvi4
refugees,x_06YNuPgCE
refugees,HPqSuVcQNXU
refugees,spaYnvfTEvc
refugees,crc6Zsm-y1U
refugees,PfpOw5_m9Zk
refugees,4MXoUbsswHY
